date,temp_avg,temp_max,temp_min,precipitation,humidity,wind_avg_speed,SO2,NO2,PM2.5,O3
2011-01-01,8.3,13,3,0,84,5.2,11,41,8,17
2011-01-02,8.6,13,4,0,81,5.4,11,47,9,11
2011-01-03,4.2,9.4,-1.6,0,86,3.5,11,62,11,7
2011-01-04,6.5,8,4.1,0,93,6.3,9,48,9,11
2011-01-05,8.9,10,6.3,0,90,10.4,9,54,10,9
2011-01-06,12.2,15,8.9,0.51,87,15.7,8,35,7,22
2011-01-07,10.9,13,8.7,1.02,81,15.6,8,42,13,29
2011-01-08,9.8,13,7.6,1.02,88,14.3,8,38,7,35
2011-01-09,8.4,11,6.6,10.92,92,6.5,8,35,6,40
2011-01-10,6.9,8.3,5.2,3.81,91,7.4,9,47,6,20
2011-01-11,11.3,15,5.7,1.78,77,15.4,9,37,5,37
2011-01-12,9.1,16,3.1,0,83,3.1,14,79,18,6
2011-01-13,6.6,13.3,1.9,0,92,3.5,14,74,22,5
2011-01-14,6.9,15.3,0.7,0,84,5,15,77,21,5
2011-01-15,6.8,15.8,0.3,0,81,3.7,13,56,14,6
2011-01-16,6.3,14.8,0,0,83,4.8,12,48,14,7
2011-01-17,4.3,6,0.9,0,97,2.6,13,77,35,5
2011-01-18,6.9,12,3,0,91,2.6,15,80,21,5
2011-01-19,6.8,11,3.6,0,89,2.8,14,77,25,5
2011-01-20,6.7,12.1,2.2,0,77,6.3,13,54,8,10
2011-01-21,2.7,7,-2,0,32,15,10,32,4,47
2011-01-22,0.9,7.2,-4,0,35,11.9,10,31,4,47.5
2011-01-23,-0.2,5.4,-4.1,0,45,9.1,10,24,6,43
2011-01-24,0.5,8.8,-6,0,49,5,12,49.5,7,30
2011-01-25,-0.2,8.7,-6,0,61,5.2,13,67,12.5,10
2011-01-26,0.6,9.4,-5.1,0,73,5,13,68,11,8
2011-01-27,2.7,6,-1.2,0,90,5.9,10,65,10.5,11
2011-01-28,5.6,9.7,3.3,2.29,88,12.4,8,45,7,32
2011-01-29,5,9,1.4,4.06,83,7.8,7,35,7,34.5
2011-01-30,3,6.9,0,0,89,3.5,7,45,12,22
2011-01-31,3.5,8,-0.2,0.76,68,8.7,9,47,9,26
2011-02-01,2.7,10,-3,0,66,9.3,9,53,12,22
2011-02-02,5.1,13,-2,0,55,8.1,11,79,14,14
2011-02-03,4.4,14.6,-3,0,63,4.8,16,99,21.5,6
2011-02-04,5.6,16,-2,0,66,4.3,15,95,19,6
2011-02-05,6.7,19.5,-2,0,57,3,13,79,15,8
2011-02-06,7.3,19.3,-1,0,57,4.3,13,63.5,13,11
2011-02-07,7.1,18.8,-1.2,0,55,3.9,13,81,13,8.5
2011-02-08,5.9,16,-2,0,59,4.8,13,84,17,8
2011-02-09,5.8,15,-1.4,0,70,4.8,13.5,91,23,6
2011-02-10,6.3,15.6,-1.3,0,67,4.8,13,81,19,8
2011-02-11,6.2,14.3,-1,0,69,6.3,12,82,21,7
2011-02-12,6.7,14.8,-1,0,70,6.9,10,58,17,18
2011-02-13,6.7,12,0,0,76,14.1,8,35,8,39
2011-02-14,6.6,9.1,3.1,0.76,61,22.4,7,27,5,53
2011-02-15,6.6,10,4.8,0.25,89,12,7,48,5,34
2011-02-16,5.5,8.7,2,4.83,85,21.1,7,37,5,46
2011-02-17,6.7,10.5,3.5,5.08,70,23.7,7,27,6,63
2011-02-18,6.7,13.2,-0.5,0.25,73,7.6,8,56,9,30
2011-02-19,8.1,10,5.7,0,92,7,7,50,8,16
2011-02-20,9.4,15,6,0,79,8.3,7,30,6,36
2011-02-21,10.3,13.4,4.8,0.25,63,18.3,7,23,6,59
2011-02-22,13.5,16,9.2,0,59,19.6,7,23,6,56
2011-02-23,12.2,19.3,5.4,0,59,4.6,9,63.5,11,23
2011-02-24,11.2,20,2.7,0,62,6.5,9,59,11,15
2011-02-25,11.6,21.9,2,0,57,4.1,10,71,14,10
2011-02-26,12.1,21,3.6,0,58,5.6,11,69,15,12
2011-02-27,9.3,12.8,5.2,0,50,19.3,8,17,4,64
